source	target	label
drill into	zoomer sur	0
education camp	camp de redressement	0
ended up	nous sommes retrouvés	0
essentially	en gros	0
ever since	depuis ce jour	0
every day	tous les jours	0
fast-forward	vue en accéléré	0
felt uneasy	suis gêné	0
first	pour la première fois	0
fly away	enfuis -toi	0
from	d' après	0
from	suite à	0
from looking at	quand on regarde	0
front page	page d' accueil	0
fully	tout à fait	0
get a sense of	a une idée	0
get into	arrive à	0
gets blown apart	explose	0
getting by	s' en sortir	0
getting tagged	marquées	0
go ahead	continue	0
go ahead	me lancer	0
go down this road	aller dans ce sens	0
good job	bien joué	0
gradually	au fur et à mesure	0
grappling	lutter	0
great	éminente	0
ground level	plus bas niveau	0
had to	a dû	0
has something to do with it	y est pour quelque chose	0
have nothing whatsoever	ne ayant absolument rien	0
have to	a besoin de	0
have to	ai besoin de	0
here	dans ce cas-là	0
here we go	nous y voilà	0
how come	comment ça se fait	0
i will do	je vais faire	0
i am sorry	pardon	0
i can	je y arrive	0
i will be seeing you	on se reverra	0
if you will pardon	si vous me passez	0
immediately	tout de suite	0
impossible to bear	insupportable	0
in a miracle	comme par miracle	0
in a way	dans un sens	0
in between	entre les deux	0
in each case	à chaque fois	0
in fact	en réalité	0
in the	au cours des	0
in the wake of	sur les traces de	0
information info-graphic	données graphiques	0
instantly	sur-le-champ	0
instead	à la place	0
instead of	plutôt que	0
instead of	plutôt que d'	0
into the	au sein du	0
is a problem	pose un problème	0
is because	ce est que	0
it 's	il y a	0
it 's	on retrouve	0
it 's everything	il y a de tout	0
it goes like this	ce est comme ça	0
it turns out	il se trouve que	0
kind of	en quelque sorte	0
kindergarteners	les équipes de maternelle	0
let me be clear	je vais être très clair	0
life can exist	il peut y avoir de la vie	0
like	par exemple	0
like that	du même genre	0
linked together	liées entre elles	0
links them all	les relie entre elles	0
little peek	aperçu	0
many of you	beaucoup de gens	0
mass	quantité	0
meaning	ce est-à-dire	0
more	de plus en plus	0
move in	entrer dans	0
much higher-value	beaucoup plus puissants	0
much of	pas mal de choses en	0
multiple	de nombreuses	0
music sequencing	arrangement musical	0
must understand	comprenez bien	0
my birthday	le jour de ma naissance	0
my home in tennessee	mon tennessee natal	0
nation-state	nation en tant qu' état	0
not to mention	sans parler	0
notice that	s' en rendent compte	0
now	en ce moment	0
now	à présent	0
of course	bien entendu	0
of course	naturellement	0
ok	bon	0
on either side	des deux côtés	0
on our terms	à notre manière	0
on the top	au sommet	0
on the web	en ligne	0
on their way back	de retour	0
on top	au sommet	0
on top of	en plus de	0
on video watching this	qui regarderont la vidéo	0
one such person	une de ces personnes	0
or	ou bien	0
or any	ou autre	0
or so	quelques	0
original	premiers	0
other people	les autres	0
otherwise	sans cela	0
over	au cours de	0
part	point	0
part of	un extrait	0
pays close attention to	suit avec une grande attention	0
people	l' être humain	0
people	êtres humains	0
pop in	insérer	0
pop out	éjecter	0
punch line	point fort	0
put in	ajoute	0
put in	ajouter	0
putting together	assembler entre eux	0
reach out	tendre le bras	0
reaching out	tendant le bras	0
relative to	lié à	0
resequencing	séquençant à nouveau	0
reshape	transformer	0
reshuffles	mélange à nouveau	0
resident students	étudiants internes	0
right	parfait	0
right	voilà	0
right now	à cet instant	0
same thing	pareil	0
saved	mis de côté	0
screen snapshot	photo d' écran	0
see that insight	faire cette observation	0
self-reinforcing	auto-porteurs	0
sense each other	se reconnaître entre eux	0
serves to be	s' avère	0
shock therapy	des électrochocs	0
slice and dice	décortiquer	0
smuggled	emmené clandestinement	0
so	bon	0
so	pour qu'	0
so i can	pour pouvoir	0
so that	afin qu'	0
so that	de sorte que	0
so we could	de manière à pouvoir	0
so we could	pour pouvoir	0
somehow	quelque peu	0
sort of	en quelque sorte	0
sort of	un peu	0
spend any time	a passé une seule minute à	0
stab himself	se planter des choses	0
streaming trials	essais en flux	0
take a peek at these	y jeter un coup d' oeil	0
tease out	en extraire	0
tested	mis à l' épreuve	0
that 's	en voilà	0
that 's	soit	0
that way	comme ça	0
the extraordinary thing	ce qui est incroyable	0
the least amount of time	le temps le plus court	0
the very worst	du groupe des pires	0
then	dans ce cas	0
there are	il existe	0
there are no	il ne reste plus de	0
there was not	ce ne soit pas de	0
thesaurus	dictionnaire des synonymes	0
thesaurus	dictionnaires de synonymes	0
think	me dire	0
think	se disent	0
think about	songez à	0
think of it	la voir	0
think of this	réfléchissez	0
think of this	voyez ça	0
this is	il s' agit d'	0
this is	il s' agit de	0
this is	on a	0
this is one of them	en voilà une	0
thought	ai trouvé	0
time frames	laps de temps	0
to	afin d'	0
took away	s' est emparée de	0
topical area	thème	0
treating the wholeness of	prenant dans son intégralité	0
trying to	cherché à	0
underground	sous terre	0
was interested in	aimerait que	0
was standing	me tenais	0
was this one	voilà	0
was walking	se promenait	0
way of life	coutumes	0
we had to	il fallait	0
we have	il existe	0
well	tiens	0
what if	que se passe -t-il si	0
what to do	quoi faire	0
when	dès lors qu'	0
when it comes to	pour trouver	0
which is	soit	0
why is it	pourquoi donc	0
will look at them	en les regardant	0
with a very short period of time	en très peu de temps	0
within	d' ici	0
you are getting queasy	vous vous sentez mal	0
you can just	il suffit d'	0
you have	il y a	0
you know	vous voyez	0
your rooms	chez vous	0
are overreaching	voulions trop en faire	1
's clinging	tient	1
a fingertip	doigt	1
a series of	des	1
all kinds of	des tas d'	1
all kinds of	tout un tas d'	1
alternative	proposition	1
another	une	1
are killing	détruisent	1
arrange	met	1
audience	public	1
be putting lids	étouffer	1
blew my mind wide open	me a ouvert l' esprit	1
came	a été	1
case study	étude	1
cast shadows	assombrie	1
casting shadows on	assombrir	1
causes	fait que	1
curse	problème	1
demonstrate	montraient	1
drifted	nous dirigions	1
face	aspect	1
figure out	cherchent	1
get queasy easy	êtes sensibles	1
give	faire	1
grab hold of	tenir	1
hang light	voguent	1
heats up	affecte	1
help bring out	dire	1
homelands	les terres	1
in the second floor	de l' étage	1
inject	intègre	1
inject	intégrer	1
inside the	des	1
into a fold of	parmi	1
is carrying	contient	1
is hitting	affecte	1
jump	passer	1
jump right into	vous rendre directement sur	1
kill	détruire	1
killed	détruire	1
knew there 's a mechanism	en connaissions un	1
lhc	accélérateur	1
look up	regarder dans	1
looked up	regardé	1
looks	est	1
never sat right with me	ne me a jamais plu	1
on screen real estate	d' espace de l' écran	1
on top of	à	1
overshoot	en met trop	1
people	ceux	1
quarters	endroits	1
rapid in its melting	touchée	1
reignite	ont déclenché	1
repower	doter	1
run	passer	1
scraped from	récupérées sur	1
sea change	changement de tendance	1
sets of	des	1
shape	ramener	1
shaped into	donna	1
slipped outside	est sorti	1
some certain	un	1
starting with	en utilisant	1
suggest	dire	1
sweep under the rug	à écarter	1
takes out	prend	1
that digital information	elles	1
the dog	le	1
the people	ceux	1
the reason	ce	1
the team 's	ses	1
the thing	ça	1
thesaurus	dictionnaire	1
these organisms	ils	1
tightly	bien	1
torn apart to	réduits en	1
trickery	truc	1
understood	ai vu	1
want to	vais	1
want to start by	vais	1
was delivering	sortais	1
watermarks	des signatures	1
we are looking at right here	nous avons là	1
will never accomplish anything	ne feront rien	1
workers keep their pay	permet aux travailleurs d' économiser	1
will have	obtenir	2
will roll	fera avancer	2
am going to	ai envie de	2
am going to	veux	2
are looking at	visionne	2
are looking to	essayons de	2
are working to	cherchons à	2
's been a part of	est mentionné	2
's bringing out	fait lever	2
a lot of this is out there	il y en avait beaucoup d' exemples	2
actually	concrètement	2
added	rejeté	2
along with	avec l' aide de	2
are	deviennent	2
backing in	en vous approchant	2
be	devenir	2
be	être placé	2
beautiful	merveilleux	2
because of	grâce à	2
because of	à cause de	2
because of the	grâce aux	2
because of the	à cause des	2
being	devenir	2
bring	introduisons	2
bring out	révéler	2
bringing up all of them	en les affichant toutes	2
business	industrie	2
called	a intitulé	2
can see	allez le constater	2
carry	subventionnent	2
ccs	centimètres cubes	2
climate crisis	réchauffement climatique	2
collect myself	me resaisir	2
come off	tombe	2
come up with	créer	2
comes down to	se résume à	2
comes out	ressort	2
cross this tipping point	en venait à déclencher la diffusion de ce gaz	2
d 's	de niveau d	2
dirty	polluants	2
do	inventer	2
do that	pouvoir arriver à cette étape	2
does	en a	2
done	menée	2
done	mis au point	2
each other	la présence des autres	2
ends up	est rejeté	2
energy grid	réseau électrique	2
establish	imposer	2
existed	vivait	2
expand on that	explorer cette idée	2
few	groupe de	2
filter in	focaliser sur	2
for	en ce qui concerne	2
formed	s' est créé	2
from	à cause de	2
frozen ground	pergélisol	2
get	atteignons	2
get	comprendre	2
get	comprenez	2
get	devenir	2
get	se retrouvent	2
get	tire	2
get	trouve	2
get my sleeve back	retrousse ma manche	2
get to	peut	2
gets	devient	2
given	condamnée à	2
go	avance	2
go	continuer	2
go	passer	2
go	se disent	2
go to	prenez	2
good	agréable	2
got	ai reçu	2
got expressed	a été produit à partir de notre chromosome	2
got to	ai atteint	2
had	avons créé	2
had done	effectua	2
had on	portais	2
has	possède	2
has	possédant	2
has any	ne possède de	2
has been around	existe	2
has been moving	a augmenté	2
have	disposons	2
have	détenons	2
have	possèdent	2
have	possèdons	2
have	produisent	2
have	réaliseront	2
have	sont équipés d'	2
helped	a contribué à	2
in that	sur ce pied-là	2
is	est issue d'	2
is	représente	2
is about	consiste à	2
is to	consiste à	2
it	ce génome	2
it	ce thème	2
it	l' enzyme	2
it	la rivière	2
it	la suite	2
it	le charbon	2
it	le chromosome résultant	2
it 's	cela représente	2
it 's	ça consiste à	2
it 's just	tout ça grâce à	2
it rolls it	la vidéo reviendra	2
large	énormes	2
leave you with	vous transmettre	2
live	survivre	2
look at	considère	2
look at	consulter sur	2
made	avons créé	2
made	créée	2
made	fabriquer	2
made up	créé	2
make	créer	2
make	former	2
make	synthétiser	2
makes	donne	2
making	construire	2
making	créer	2
mention	préciser	2
move	avancer	2
moves from	s' écarte de	2
moves on	évolue	2
moving	transférant	2
now	aujourd'hui	2
one	l' idée	2
one	seule	2
ones	centrales	2
panning through	navigue dans	2
people	participants	2
performance	concert	2
piece	article	2
point	avancée	2
point	étape	2
pop	ressortent	2
pop right back	revenir directement	2
produced	paru	2
put	ajoute	2
put	avons inséré	2
put	introduit	2
put it back together	s' est réparé	2
put out	diffuser	2
put up	mis en ligne	2
reaches	se jette dans	2
released from	éjectées de	2
repower	donnons une nouvelle énergie à	2
repowering	donner une nouvelle énergie à	2
science	découvertes scientifiques	2
see	discerner	2
select for	privilégier	2
separating from	séparer par note	2
shifts	change de place	2
showering	a bombardé	2
some neat	de belles	2
something to	un aspect qu' il faut	2
somewhere	un autre organisme	2
species	des organismes	2
species	organisme	2
start with	utiliser	2
states	crises	2
take	propager	2
take	récupérer	2
take	survivre à des niveaux de	2
taken	ramené	2
taken up	intégré	2
takes	transforme	2
that	l' organisme	2
that	la situation	2
that	le continent	2
that have been cancelled	dont la construction a été abandonnée	2
the future	nos créations futures	2
the planet	terre	2
them	photos	2
there are	cela ouvre	2
there was done	a été réalisée	2
these two	le microbe et la bactérie	2
they	les résultats	2
things	aspects	2
things	produits	2
this	ce travail	2
this	le logiciel	2
this	le résultat	2
those	personnes	2
through	grâce à	2
to	destinée à	2
took	conduirent	2
try	explorer	2
turn us from to	nous permettra de faire d' un un	2
use	consommons	2
very beautiful	magnifique	2
view	constater	2
viewing	consulter	2
visual effects	des effets spéciaux	2
was going to	se mette à	2
was like	sert de	2
was looking at	ai consulté	2
we put them in	utilisés	2
well	loin	2
well	à bon escient	2
went about	se sont mis à	2
went onto	accédait à	2
were never going to make	ne gagneraient jamais	2
what if	qu' adviendrait -il	2
what this is doing	à quoi ressemble cette tendance	2
will	continuerai à	2
will go	diront	2
work up	sortir	2
wrapped	cachées	2
you are queasy	vous ne supportez pas la vue du sang	2
you go	vous vous dites	2
would like you to think about	aimerai vous montrer	3
are starting with	partez des	3
have argued	pense	3
two zero feet	six mètres	3
two zero inches	cinq zéro centimètres	3
a billion gallons	trois milliards de litres	3
a foot	une trentaine de centimètres	3
a mile and a half	deux cinq zéro zéro m	3
abilities	potentiel	3
advertising effort	campagne de communication	3
all over the country in america	de tous les etats-unis	3
and what happens	et alors	3
answer people 's questions	quand on me pose des questions	3
are asked	doit donner	3
are grading	qualifions	3
are interested in	s' intéressent à	3
assumptions	préjugés	3
at our very fundamental core	au niveau le plus fondamental de notre être	3
bad	difficile	3
based on	en se fondant sur	3
based on	à partir de	3
be as far as it went	s' arrêter là	3
be described by	correspondre à	3
been engaged in	participé à	3
before	déjà	3
being driven	emportés	3
boiling-water temperatures	des températures de un zéro zéro ° c	3
build	assembler	3
but when they go away so does much of the drinking water	ce est autant d' eau potable de perdue	3
called	que l' on nomme	3
can easily be	on peut facilement	3
carbon based fuels	carburants émetteurs de co deux	3
challenge	compétition	3
changed	ont été modifiées	3
chewed it up	l' a avalé	3
consistent	répété	3
consists of	est constitué de	3
deep lessons	de grandes leçons	3
design into this	avons pu intégrer	3
design the process a little bit further	aller plus loin dans le processus	3
drive	alimenter	3
embrace	comprendront	3
embrace	profiter d'	3
engage	exploiter	3
engage with	développer	3
ensuing	futurs	3
every one of us	chaque personne	3
explore	étudier	3
find out more	renseignez -vous	3
flipped me out	me a secoué	3
forces	des courants	3
gave us	a fait apparaître	3
get interested	s' y intéressent	3
get mixed	se mélangent	3
give an update on	mettre au courant	3
given	en ayant	3
global warming pollution	pollution à effet de serre	3
go much larger	voir plus grand	3
go up or down	sortir de	3
goes up or down	ne rentre ni ne sort de	3
got the biggest cheer	a été reçu avec d' aussi grandes acclamations	3
had been made	on avait fait	3
had just come from walking	errait dans	3
hard truth	vérité nue	3
has procured	me a apportée	3
has to be	il faut qu' soient	3
have at hand	avons devant nous	3
have we met	nous nous connaissons	3
he gets to	à lui de	3
he wanted to do	ce qui l' intéressait	3
he went by dr. p	il est devenu dr p	3
heated up	s' est échauffé	3
help stop	lutter contre	3
if you can not	à part	3
ignite	réveiller	3
increase what the basic question is of	chercher juste la réponse à la question	3
innumerable	interminable	3
into a series	à la suite	3
is in a sense	on peut voir comme	3
is marked	apparaissent	3
it 's gone from	on est passé de	3
it 's held	il tient	3
it 's nothing if not ambitious	ce est véritablement ambitieux	3
it 's over weight	sa masse est supérieure à	3
it 's powered by	cela fonctionne avec	3
it 's such a large molecule	cette molécule est tellement grande qu'	3
it does not show	on ne voit pas	3
it exhausts all the	on atteint les limites des	3
it took	cela s' est fait en	3
it was going from the	nous l' avons transposé du	3
kind of	plutôt	3
kind of neat	pas mal	3
know	saura dire	3
know	voir	3
link together	liées entre elles	3
links to	est liée à	3
look at in the context	la remettez dans son contexte	3
lower four eight states	etats-unis sans l' alaska	3
man	bonhomme	3
mean	représenter	3
meet it well	soient à la hauteur	3
modern	nouveau	3
my playing the music	la musique que je jouais	3
never would have been able to be booted up	ne aurait jamais fonctionné	3
nice one	pas mal	3
one inch	trois centimètres	3
one yard	un mètre	3
orienting themselves to	prendre leurs marques par rapport à	3
out of	à partir de	3
phase	moment	3
play	travailler	3
plight	difficultés	3
potency	potentiel	3
pour back	en enlever	3
pretty good	pas mal	3
processing	ce que l' on peut créer avec	3
read	vu	3
really	bien	3
really	extrêmement	3
rezéro zéro	jeunes	3
right now	là	3
rubbish	pollution	3
saw it on the news	en avez entendu parler	3
second grade	ce un	3
see a lot of it	la vois en grand	3
serious	inquiétantes	3
seven-inch	de un huit cm	3
shallow	peu profonds	3
small	réduite	3
small	simple	3
sound familiar	ça vous rappelle quelque chose	3
source	producteur	3
started down the road of	nous sommes attelés à ce problème	3
step back out	s' éloigner	3
struggle	l' épreuve	3
struggle	épreuve	3
that 's not where it stops	ça ne s' arrête pas là	3
that 's what you have all heard about with	comme ce qu' on fait pour	3
that can be changed	nous pouvons changer cela	3
that have that character shown on them	présentant ce personnage	3
that scar has stayed with him	il a souffert de ce traumatisme	3
that will confront us	auxquels nous serons confrontés	3
the next	l' autre	3
the question is whether we will be	ce qui ne est peut-être pas notre cas	3
the smallest	le plus simple	3
then put sets of those going up to	eux-mêmes assemblés pour arriver à	3
there is	est stockée	3
there is	y est	3
these are pictures	ces photos ont été prises	3
they are able to be moved around	on peut les déplacer	3
they are running out of time	le délai se rapproche	3
they can go together	qu' il faudra assembler	3
they run out of time	ils ne leur reste plus de temps	3
they were seen	ils les voyaient	3
they were told	on leur disait	3
they will not any longer grow readily	on ne peut plus les faire croître facilement	3
think	disons que	3
think of it in the terms that i do	regardiez la chose comme moi	3
thirty-nine inches	un mètre	3
this gets at	on en arrive à	3
this is right here	vous avez sous les yeux	3
times	occasions	3
to be found	à en tirer	3
to get us out of this mess	pour nous en sortir	3
to hide	caché	3
to put it in context for myself	si je rapporte cela à ma personne	3
today 's	actuelle	3
too	et même qu'	3
travel	passer	3
trying to optimize processes	les processus que l' on peut optimiser	3
turned into a movie	adapté à l' écran	3
turns into an	se termine en	3
until you move through it	sans l' avoir vue	3
was lost	avait l' air perdu	3
waste	pollution	3
we are actually starting at	nous en sommes maintenant à	3
we are looking at	on a devant les yeux	3
we are trying to get to the point of	ce que nous recherchons ce est	3
we can just chew back with	ils soient légèrement rognés par	3
we might be able to	pouvoir aller beaucoup plus loin que	3
what 's called	ce qu' on appelle	3
what is it about them	qu' ont -ils de spécial	3
what the point here	le vrai but de tout ça	3
when you think of	imaginez	3
where we have never been before	ce qui ne a jamais été réalisé	3
who are interested	que cela intéresse	3
will be coming out relatively soon	ne vont pas tarder à apparaître	3
within	par le biais de	3
will not spend any time on	vais passer très rapidement	3
would put it on an exponential curve	montrerait un début de croissance exponentielle	3
years from now	des années plus tard	3
you have heard a lot about it	on ne parle que de ça	3
you get assigned	est attribuée	3
you hear about	qui nous sont communiquées	3
you want to ask	qu' on se pose	3
am only showing	ne montre que	4
are a year behind	avons une année de retard	4
are about to	allons	4
's about	s' agit de	4
's empowered	a des capacités	4
's equal to	représente	4
's okay	va bien	4
a dollar short	il nous manque un dollar	4
a scan	scannée	4
a simple	juste un	4
act as	jouent le rôle de	4
acting as	dans le rôle de	4
adapt	adaptation	4
adaptable	capable de s' adapter	4
add	avec	4
adjazéro zéro	qui ne était pas loin	4
ago	précédente	4
all of	tout ce qui parle de	4
all that it takes to	la seule chose qui	4
all we did was	nous avons juste	4
an interesting thing	intéressant	4
are a better match to	correspondent mieux à	4
are beyond	dépassent	4
around	situé autour de	4
around the world	global	4
around us	qui nous entoure	4
as a result	il en résulte qu'	4
asked	posé la question	4
aspirin shaped	la forme d' une aspirine	4
at	quand il fait	4
autograph it	mis notre autographe	4
become greater	s' accroissent	4
brave	de bravoure	4
brought it into existence	la faisait exister	4
call into existence	faire exister	4
can do this	ont cette capacité	4
central	du milieu	4
change things quite dramatically	faire des changements radicaux	4
coal	charbonneuse	4
colliding with	est entré en collision avec	4
color it blue	de couleur bleue	4
combinatorial	par combinaison	4
come in	fait éruption	4
computationally	par calcul informatique	4
computer vision	de vision informatisée	4
computer vision	vision informatisée	4
correctly	comme correct	4
crude	à l' état brut	4
deceptive	une illusion	4
deep	de profondeur	4
deep ocean	fond des océans	4
designing	la conception	4
digitizing life	numérisation de la vie	4
discovering	la découverte	4
do a complete transplant of	transplanter entièrement	4
do a disservice	ne rendons pas service	4
do nots	ne fais pas	4
entire	ensemble de	4
essence	base essentielle	4
ever-growing	de plus en plus grandes	4
everyday	du quotidien	4
evolutionary tree	arbre de l' évolution	4
expected	qu' ils peuvent attendre	4
extending westward	vers l' ouest	4
fearful	craignant	4
finally	en un mot	4
finally	à la fin	4
for	suite à	4
for a few minutes	quelques minutes	4
foreign	que nous importons	4
forward	de progresser	4
free-standing	tenant debout	4
from	produit par	4
from	provenant d'	4
from around the world	venus du monde entier	4
gave an introduction to	ai presenté	4
get out of	ne plus	4
get significantly better	augmentent de manière significative	4
gold	d' or	4
grasping	prenant en main	4
greatest	le meilleur de	4
healthy	en bonne santé	4
his declaration of me as	le fait qu' il me ait déclaré	4
hopefully	en espérant	4
hopefully	espérons -le	4
how	de quelle façon	4
how	des raisons pour lesquelles	4
how	la façon dont	4
how	la manière dont	4
how	à quel point	4
how big are	la taille de	4
how big are	la taille des	4
how it unfolds	le dénouement	4
how perform	quelles sont les résultats	4
how to	la manière de	4
how we	notre façon de	4
how we	notre manière de	4
how we understand	notre façon de comprendre	4
human	de l' homme	4
human-computer	entre humains et ordinateurs	4
i have argued	selon moi	4
i think	d' après moi	4
i think	selon moi	4
ice melting	la fonte des glaces	4
if we do	si ce est possible	4
implicit in	ce que sous-entend	4
in a diverse way	dans toute sa diversité	4
in a nutshell	pour résumer	4
in abundance	une grande quantité de	4
in length	de long	4
in other words	autrement dit	4
in our discovery	nous avons découvert	4
in southwest greenland	au sud-ouest du groenland	4
in terms of some of the needs	quand on regarde nos besoins	4
in that	dans le sens où	4
in the end	pour finir	4
in the exact same way	exactement de la même manière	4
in this simple way	simplement de cette manière	4
in winter	hivernales	4
inadvertently	par mégarde	4
including	dont	4
increasing rapidly	en augmentation rapide	4
inherently	par définition	4
inherently	par nature	4
instant	instantanément	4
instrumental	l' instrument	4
interestingly	de façon interessante	4
is a problem	est problématique	4
is bubbling up out of	sort de en bouillonnant	4
is in crisis	est confrontée à plusieurs crises	4
is meaningful	a un sens	4
is only ago	ne a que	4
is the most serious problem	encore plus	4
it 's the case	ce est vrai	4
its metabolic	de son métabolisme	4
just	ne que	4
just	ne rien qu'	4
just	rien que	4
just gave	viens de donner	4
keep handy	ai sous la main	4
keeps repeating them	les répète sans cesse	4
kind of	d' une certaine manière	4
kind of like	une espèce de	4
laid-up	sur le flanc	4
language learners	ceux qui apprennent des langues	4
later	après	4
leave that up to us	laissez -nous nous en occuper	4
left to their own devices	on le laisse se débrouiller	4
let 's take a tour of	visitons	4
let 's up the ante	montons les enjeux	4
like an odd thing	bizarre	4
live	en direct	4
live	en ligne	4
living homeless	sans-abri	4
looking for	faisant des recherches pour	4
loud	à haute voix	4
made that shift in thinking	a changé sa façon de penser	4
make a little pierce	percer un peu	4
make emergent	font émerger	4
make it seem real	lui donner l' apparence de la réalité	4
making it longer or shorter	l' allonger ou la raccourcir	4
many	des tas d'	4
many	un ensemble de	4
measurably	de façon mesurable	4
melting	au dégel	4
meshes with	qui va dans le sens de	4
methodologically	de façon méthodologique	4
most	la majorité des	4
moving back	retrait	4
myriad cultures of the world	mélange de cultures mondiales	4
next	à venir	4
no more	la fin des	4
nomadic people	peuple de nomades	4
non-image	qui ne est pas une image	4
of	au sujet de	4
of being	au fait d' être	4
of monotony	monotone	4
of my being an amputee	que je sois amputée	4
of survival	à survivre	4
of use	utile	4
on the order of	environ	4
one reason is	parce que	4
only	ne plus que	4
only	ne qu'	4
only	ne que	4
only	ne que	4
open-ended	avec une fin ouverte	4
or so	près d'	4
originally	à l' origine	4
out	ça sort de	4
overland	par voie terrestre	4
particular	en particulier	4
professional	de professionnels	4
pure	purement	4
put together	réunis	4
raggedy	en loques	4
reading	la lecture de	4
really	en réalité	4
really large pieces	des tailles de morceaux importantes	4
reduced to the margins of	en marge de	4
related spatially	reliées entre elles dans l' espace	4
related to	avait un lien avec	4
related to	en rapport avec	4
remotely	à distance	4
roughly two zero	une vingtaine d'	4
rugged	en haillons	4
say who they all are	donner tous leurs noms	4
seamlessly and continuously	de manière continue et fluide	4
significantly	de manière significative	4
sketch	font des croquis	4
so	pour que	4
so many more	tellement d' autres	4
so they can	de manière à pouvoir	4
so we could	afin de pouvoir	4
sophisticated	la sophistication de	4
southeast asia	sud-est de l' asie	4
southeastern tibet	le sud-est du tibet	4
spatial	dans l' espace	4
spend a large sum of money	dépenser massivement	4
stalled	en panne	4
stamp a letter into it	avec une lettre en creux	4
standing	qui tient debout	4
standing	tenant debout	4
state-of-the-art	de pointe	4
step back	prendre un peu de recul	4
stopped being	ne étaient plus	4
storytelling	raconter des histoires	4
storytelling institution	institution de contes	4
such a	vraiment une	4
such a powerful image	une image tellement puissante	4
suddenly	d' un coup	4
sympathetic with	qui compatissons avec	4
synthesizing	la synthèse	4
take a good long look	regardez bien	4
than ever	que par le passé	4
that can	capable de	4
that seems to be	donnant l' impression d'	4
the early one nine eight zero s	au début des années huit zéro	4
the northern	au nord	4
the point is	ce que je veux dire ce est que	4
the point is	ce que je veux dire	4
the proposal has been to	ils projettent de	4
the reason why	la raison pour laquelle	4
the source was	elle venait d'	4
the ultimate in placebo	le placebo ultime	4
the worst of which can manifest themselves as	dans les pires de leurs manifestations	4
there 's been a shift in my thinking	ma façon de penser a changé	4
there has been a decline	a diminué de	4
through	traversant	4
to adapt to	d' adaptation	4
top	du haut	4
treacherous	la traîtrise des	4
treatment	se soigner	4
try things	faire des essais	4
turned in	tournés vers l' intérieur	4
turns out	en fait	4
unforgiving	sans pitié	4
unmarked by	sans trace de	4
unsuccessfully	sans succès	4
until	tant que ne pas	4
using	l' utilisation de	4
vision impairment	l' altération visuelle	4
want to avoid	à éviter	4
we are trying to ask	la question ce est	4
we have made it our primary goal to	nous avons décidé de	4
we can	il est possible de	4
well the truth is	à vrai dire	4
went through our error correction	corrigé les erreurs	4
were performing at a-level	avaient des résultats de niveau a	4
west antarctica	la région ouest de l' antarctique	4
western china	l' ouest de la chine	4
what about	et si on	4
what that picture is of	sujet de cette photo	4
when	au moment où	4
when you go into	pour	4
when you step back	en prenant du recul	4
where	l' endroit où	4
whether or not	dire si oui ou non	4
while it plays	pendant la lecture	4
who does the very best	qui sont vraiment les meilleurs	4
why	pour laquelle	4
wireless	sans fil	4
with it	l' utilisa pour	4
with serious physical injury	qui étaient gravement blessés	4
worth noting	notable	4
you are off	vous êtes partie	4
you can not	il est impossible de	4
zoomable technology	technologie de zoom	4
zooming in	fait des zooms avant	4
are less burdened by	est moins un fardeau	4
a great deal	pas mal de choses	4
a violin lesson with me	je lui donne un cours de violon	4
about	une histoire de	4
