source	target	label
pathology	pathologie	0
put back to work	remettre au travail	0
servitude	l' esclavage	0
survives	survit	0
laughed	ont rigolé	0
coal	le charbon	0
three zero zero	trois zéro zéro	0
where	où	0
making	rendre	0
building	fabriquant	0
have appeared	sont apparus	0
blocks	des cubes	0
try to	essayer de	0
a second	par seconde	0
wow	wahou	0
long	de long	0
realistic	réaliste	0
hahnemann	hahnemann	0
guy	type	0
tried	tenté	0
vaccine	vaccin	0
this	ceci	0
marshmallows	marshamallow	0
think of	croient	0
innovations	innovations	0
atmosphere	atmosphere	0
plan out	planifier	0
yanomami	yanomami	0
common	commun	0
tells	dit	0
them	leur	0
had we	si nous avions	0
something	quelque chose d'	0
with	par	0
t	t	0
lab	lab	0
dance	danse	0
are not browsing	ne naviguez pas	0
ethnosphere	ethnosphère	0
as you see	comme vous le voyez	0
sterilize	stériliser	0
start	commenzéro zéro	0
as many	plus	0
type	tape	0
human	l' homme	0
my	mes	0
brought about	apportés	0
ma	ma	0
lead	la voix principale	0
thickness	épaisseur	0
as	que	0
go	partir	0
and	et	0
are trying	essayons	0
e. coli	e. coli	0
superconducting	superconducteurs	0
in	de	0
seven five	sept cinq	0
wonder	me demander	0
searching	recherches	0
music	de la musique	0
circulatory diseases	les maladies cardio-vasculaires	0
recognize	reconnaître	0
gratifying	gratifiant	0
useless	inutile	0
map	la carte	0
cellists	violoncellistes	0
totally	entièrement	0
could	pourra	0
started to	a commencé à	0
men	les hommes	0
collective	collectif	0
successive	successifs	0
me	moi	0
know	savez	0
lower	inférieure	0
radical	dramatique	0
that	qu'	0
six	six	0
rage	la rage	0
era	ère	0
the most	les plus	0
understand each other	se comprenne	0
organized	organisé	0
g	g	0
to	du	0
should not	ne devraient plus	0
are focusing	nous concentrons	0
a little bit	un peu	0
weak	faible	0
launched	lancé	0
mysteries	mystères	0
hall	hall	0
music	la musique	0
benefits	les bénéfices	0
etc.	etc.	0
al gore	al gore	0
by	de	0
good	bonne	0
hidden	cachés	0
horrors	horreurs	0
italian american	italo-américain	0
beam particle	faisceau de particules	0
the	le	0
so	ainsi	0
that	qui	0
living	vivant	0
peter skillman	peter skillman	0
up to	jusqu'à	0
thank	remercie	0
fully	pleinement	0
can	puisse	0
web pages	des pages web	0
scientific	scientifique	0
meant	voulait dire qu'	0
extraordinary	incroyable	0
obviously	évidemment	0
took	avons pris	0
catalyst	catalyseur	0
gestures	des gestes	0
medical	médical	0
mountains	montagnes	0
ultimate	finales	0
armband	brassard	0
what	que	0
work	travaille	0
geometrical	géométriques	0
ad	publicité	0
that	ces	0
information	l' information	0
had transferred in	avons transféré	0
discover	découvrez	0
instructions	des instructions	0
have	ayons	0
names	noms	0
prove	prouver	0
seven zero	sept zéro	0
paralyzed	paralysé	0
their	leur	0
played	ai joué	0
faces	des visages	0
triplets	des triplets	0
execute on it	le mettre en oeuvre	0
have been digitizing	numérisons	0
paint buckets	pots de peinture	0
microbes	des microbes	0
find out	découvrir	0
beneath	sous	0
but	cependant	0
music	musique	0
have	avez	0
am	suis	0
in one nine nine six	en un neuf neuf six	0
lama	lama	0
abundant	abondant	0
sibelius	sibelius	0
country	pays	0
desire	désir	0
by	par	0
were moving	passaient	0
atmosphere	atmosphère	0
previous	précédents	0
entry	entrée	0
one zero	un zéro	0
pronounce	prononcer	0
steve	steve	0
have been increasing	augmentent	0
one nine six zero s	les années six zéro	0
views	visualisations	0
as you can see	comme vous le voyez	0
first	en premier	0
actively	activement	0
make sure that	nous assurer d'	0
notice	remarquez	0
million	millions	0
tilting	inclinant	0
crushed	écrasé	0
senile	sénile	0
wall	mur	0
differently	différemment	0
reverb	la réverbération	0
too	trop	0
kindergarten	écoles maternelles	0
survive	survivre	0
are	sommes	0
there 's	il y a	0
los angeles times columnist	le chroniqueur du los angeles times	0
done-in	claqué	0
modern	moderne	0
count	compter	0
project	projet	0
were lost	ont disparu	0
incarcerated	emprisonnée	0
knock out	éliminer	0
chromosomes	chromosomes	0
panoramic	panoramique	0
all of	tous	0
chapter	chapitre	0
a third one	un troisième	0
are	somme	0
passion	passion	0
have not adapted ourselves	ne nous sommes pas adaptés	0
required of	demandé aux	0
cold	froide	0
knows	connaît	0
andes	andes	0
seeing	on voit	0
addiction to	dépendance aux	0
obviously	apparemment	0
kids	les enfants	0
something real	quelque chose de réel	0
object	objet	0
unsettling	dérangeants	0
wrist	poignet	0
way	moyen	0
think	réfléchir	0
to	dans	0
no	aucun ne	0
look like	ressembler	0
x	x	0
this	cela	0
put together	assemble	0
marshmallow challenge	épreuve du marshamallow	0
web	web	0
two zero zero nine	deux zéro zéro neuf	0
television channel	chaîne de télévision	0
speeding up	en accélérant	0
availability	disponibilité	0
known about	connu	0
hollywood special effect	effet spécial de hollywood	0
mangled	abîmé	0
in the	du	0
b	b	0
amazing	stupéfiant	0
blog	blog	0
not	ne plus	0
equation program	programme d' équation	0
gregarious	sociable	0
greatest	plus grande	0
go back	remontent	0
genome	le génome	0
traveled	voyagé	0
gets	devient	0
zone	zone	0
second	seconde	0
because	car	0
contribute	contribuer	0
for	depuis	0
again	à nouveau	0
resolution	résolution	0
violin	violon	0
katey walter	katey walter	0
then	puis	0
future	le futur	0
resources	ressources	0
enough	assez	0
of downtown los angeles	du centre-ville de los angeles	0
so much	tellement	0
an	un	0
yo-yo	yo-yo	0
forest	forêt	0
here	la	0
universally	universellement	0
delusions	délires	0
quite a large	un assez grand	0
negating	de nier	0
tool	outil	0
has not caught up with	ne a pas suivi	0
admin	administratif	0
have to	doivent	0
do we want to	voulons -nous	0
happened	s' est produit	0
illustrated	a illustré	0
occluded	occultées	0
too	également	0
amino acids	acides aminés	0
get around	contourner	0
predictions	prédictions	0
illusion	illusion	0
within	à l' intérieur	0
as	quand	0
did not have a	ne a pas eu d'	0
sentences	des phrases	0
more	davantage de	0
understanding	compréhension	0
contracts	se contractent	0
robust	robuste	0
limited	limités	0
modality	modalité	0
rather	plutôt	0
tilt	incline	0
normalcy	normalité	0
if you will	si vous voulez	0
pouring	de verser	0
beyond	au-delà des	0
diversity	la diversité	0
as	alors que	0
reorganize	réorganiser	0
world records	les records du monde	0
have	a	0
are trying to	essayons de	0
related	lié	0
of	de	0
video	de la vidéo	0
not	non	0
potential	le potentiel	0
something fake	quelque chose de factice	0
purified	avons purifié	0
sanity	la santé mentale	0
for	à	0
that one	celui	0
adaptation	adaptation	0
this	la	0
whole	tout	0
type	type	0
seemed like	semblait	0
want to	voulez	0
make sure	être sûr qu'	0
revelation	révélation	0
african-american	afro-américain	0
confront	affronter	0
the very essence	l' essence même	0
months	mois	0
one four two	un quatre deux	0
july	juillet	0
as	en tant que	0
link	relie	0
on the	aux	0
climate protection	la protection du climat	0
little	petite	0
bands	élastiques	0
bumping up	cognant	0
are working with	travaillons à	0
researcher	chercheur	0
thankfully	heureusement	0
area	secteur	0
most	plus	0
glint	reflet	0
homeland	pays	0
is from	vient d'	0
ask	demandez	0
worked	fonctionnait	0
age	âge	0
innate	innée	0
sticks	bâtons	0
study	étude	0
overcoming	vaincre	0
what does that	qu' est -ce que ça	0
week	semaine	0
image	image	0
oxygen	l' oxygène	0
accidents	accidents	0
here 's	voilà	0
range	étendue	0
opening ourselves up to	nous ouvrir à	0
americans	américains	0
college scholarship	bourse pour la faculté	0
looks like	ressemble	0
it	la	0
magnetism	magnétisme	0
came	sont venus	0
since then	depuis	0
have to say	a à dire	0
two zero zero eight	deux zéro zéro huit	0
the one nine five zero s	les années cinq zéro	0
phrases	des phrases	0
dr. kean	le dr kean	0
useless	inutiles	0
from	des	0
high	élevés	0
cost	coût	0
by ear	à l' oreille	0
results	résultats	0
narwhal	le narwhal	0
apparent	évident	0
fourth symphony	la quatrième symphonie	0
glaciers	des glaciers	0
sun	le soleil	0
pacific	océan pacifique	0
first	premières	0
contained	contenue	0
bartók	bartók	0
be	soit	0
good	bon	0
dreams	rêves	0
water	eau	0
halloween parade	parade d' halloween	0
corner	coin	0
this is	voilà	0
volume siftable	siftable de volume	0
graphics	graphisme	0
by hand	à la main	0
skinned	dépouilla	0
social	social	0
china	la chine	0
me	me	0
ctos	directeurs techniques d' entreprises	0
indicate	indiquer	0
anthropology	l' anthropologie	0
one of	l' une des	0
than	que	0
duped	dupés	0
being	sont	0
at	chez	0
therefore	donc	0
design	le design	0
gupta	gupta	0
this	celle-ci	0
jail	prison	0
all	toute	0
didactic	didactique	0
has	avait	0
who he is	qui ce est	0
yeah	ouais	0
randomly	aléatoirement	0
phi x one seven four	phi x un sept quatre	0
ancient	vieille	0
spirit	esprit	0
until	jusqu'à	0
told	avaient dit	0
co two	dioxyde de carbone	0
think back to	vous souvenir	0
do not worry about	ne vous inquiétez pas du	0
vary	varier	0
see	vois	0
aging	vieillissants	0
at some point	à un certain moment	0
coal facility	centrale à charbon	0
processes	processus	0
as if	comme s'	0
come back	revenir	0
turn upside down	retourner	0
problems	problèmes	0
respected	respectaient	0
which	lesquels	0
fourth-generation fuels	carburants de quatrième génération	0
such	telles	0
fourteenth-century persian	persan du quatorzième siècle	0
position	situation	0
disappeared	disparu	0
defined	déterminée	0
exploding	explose	0
celebrated	célébrée	0
whole	toute	0
restitution	la restitution	0
happened	il est arrivé	0
people	les gens	0
not	ne pas	0
architecture	une architecture	0
bolster	soutenir	0
science	la science	0
article	article	0
was laughing	riais	0
browser	navigateur	0
medicines	des médicaments	0
most of	la plupart	0
assume	assumer	0
rick szeliski	rick szeliski	0
number	nombre	0
are going to	allez	0
do not think so	ne pense pas	0
challenge	défi	0
always	toujours	0
two five	deux cinq	0
metaphor	métaphore	0
had	a	0
at first	au début	0
on	en	0
groups	regroupe	0
when defending	en défendant	0
his	sa	0
for which	dont	0
the computer	ordinateur	0
goal	but	0
straight	directement	0
largest	plus gros	0
want to	souhaitons	0
caribou hide	de la peau de caribou	0
was	était	0
disabled	handicapé	0
three zero billion-plus	plus de trente milliards de	0
two four zero zero zero -letter pieces	des morceaux de deux quatre zéro zéro zéro lettres	0
lame	boiteuses	0
interfaces	interfaces	0
row	row	0
membranes	membranes	0
never	ne jamais	0
entire	toute	0
dive in	plonger	0
time magazine person of the year	personnalité de l' année du magazine time	0
lawyers	avocats	0
u.w.	l' uw	0
imaginative	imaginatif	0
spacing	espaces	0
community	communauté	0
to	d'	0
dr.	dr	0
the next three zero	les trois zéro prochaines	0
siftables	siftables	0
hard labor	travaux forcés	0
nine zero zero zero	neuf milles	0
paranoid	paranoïde	0
walk off	quitter	0
millions	des millions de	0
song	chanson	0
itself	elle-même	0
say	disons	0
talk about	parler de	0
higher	plus haute	0
time	fois	0
typical	le typique	0
d	d	0
could not bear	ne supportait pas	0
not	ne pas	0
molecular	moléculaire	0
remote	lointaines	0
case	cas	0
on	aux	0
browsing history	l' historique de navigation	0
conquer	conquérir	0
really	en fait	0
automatically	automatiquement	0
build	construisent	0
letters	lettres	0
sugar	le sucre	0
restriction enzymes	enzymes de restriction	0
generic	générique	0
started	commençais à	0
campaigns	campagnes	0
while	alors que	0
those	ces	0
comprehensive schools	l' école polyvalente	0
would have	auraient	0
find	trouver	0
likes to	aime	0
tough times	des temps difficiles	0
something fake	quelque chose de faux	0
pictures	photos	0
of course	évidemment	0
syringe	seringue	0
clearly	clairement	0
done-for	fichu	0
here are	voici	0
by	d'	0
jockeying	manoeuvrer	0
deforestation	la déforestation	0
facilitation skills	des compétences de facilitation	0
connected	lié	0
it	l'	0
talking	parlant	0
leading	principales	0
finished	fini	0
she	elle	0
older man	monsieur âgé	0
so much	beaucoup	0
someone	une personne	0
the pitfalls	écueils	0
effective	efficaces	0
images	images	0
experiment	expérience	0
five-year-old	de cinq ans	0
orange	orange	0
open up	ouvre	0
well	alors	0
inventing	inventer	0
new	de nouvelles	0
that to	auquel	0
cross-modal	trans-modale	0
as good as	aussi bonne que	0
seadragon	seadragon	0
this one	celui-ci	0
decade	décennie	0
last	dernières	0
amorphous	amorphe	0
may	pourrait	0
so	et	0
dr. p	dr p	0
some	d' autres	0
seems	semble	0
one zero th of september last year	un zéro septembre de l' année dernière	0
rearranging	réarrange	0
picture	photo	0
huge	gigantesque	0
finally	enfin	0
has been	a été	0
tell	disent	0
scale	échelle	0
energy	énergie	0
trained	entraînés	0
care about	aimons	0
understand	comprennent	0
thorazine	de la thorazine	0
indians	indiens	0
ice floes	banquises de glace	0
fuel	carburant	0
made	avons fait	0
about	vers	0
extremely	extrêmement	0
fade out	diminuer progressivement	0
what works and what does not work	ce qui marche ou pas	0
identify	identifier	0
wanted to	voulais	0
step-by-step	pas à pas	0
played	jouais	0
is	ce est	0
selected	selectionné	0
medicine	médecine	0
without	sans	0
done	faite	0
done-up	retapé	0
look	regardez	0
gingerly	précautionneusement	0
a person 's	d' une personne	0
tell	raconter	0
certainly	certainement	0
fill	charger	0
as	aussi	0
works	marche	0
some	certains	0
instant	instantané	0
get used to the habit of	prenne l' habitude d'	0
steve seitz	steve seitz	0
in this way	de cette façon	0
difference	différence	0
created	créée	0
launch	lancer	0
does not	ne pas	0
bring out	faire sortir	0
photographs	photographies	0
that 's	voilà	0
believe	pensons	0
on one end	d' un coté	0
a	de	0
a lot more	bien plus de	0
behind it	derrière	0
curiosity	curiosité	0
right	juste	0
two four	deux quatre	0
inuit people	inuit	0
marching	marché	0
cambrian	cambrienne	0
far	loin	0
years	années	0
california	la californie	0
recombination	recombinaison	0
would	devrais	0
models	modèles	0
standard of accuracy	précision standard	0
most	le plus	0
live labs pivot	le live labs pivot	0
synthetic	synthétiques	0
want to	veux	0
national	national	0
sovereignty	souveraineté	0
happens	se passe	0
grew up	ai grandi	0
impact	impact	0
admire	admirent	0
italian wired	wired italie	0
heats up	réchauffe	0
whoa	ouah	0
invite	inviter	0
lead	voix principale	0
loved	ai adoré	0
most of the time	la plupart du temps	0
that	ce	0
having	ayant	0
normally	normalement	0
contact sport	sport de contact	0
fish	poissons	0
try it out	essayer	0
did	avons fait	0
drinking water	eau potable	0
last year	l' année dernière	0
gotten past	passé	0
logic games	les jeux de logique	0
gave	ont donné	0
virginia	virginie	0
let	laissez	0
coal technology	technologie du charbon	0
had	avais	0
vaccine	vaccins	0
effect	effet	0
shaman	shaman	0
single	unique	0
especially	particulièrement	0
oceans	océans	0
seek	rechercher	0
existing	existant	0
new	nouveaux	0
frosty	frosty	0
case	exemple	0
exists	existe	0
had	eu	0
smaller	plus petit	0
recognized	a reconnu	0
said	a dit	0
electrical	electrique	0
molecular biology	la biologie moléculaire	0
design software	logiciel de conception	0
thousands of	des milliers de	0
saliva	salive	0
teaching them	leur enseigner	0
interactions	interactions	0
downtown los angeles	centre-ville de los angeles	0
walt	walt	0
tougher	plus difficile	0
cut	supprimer	0
look at	regarder	0
website	site web	0
obvious	évidentes	0
fossil	fossiles	0
come	viennent	0
and	de plus	0
extrapolate	extrapoler	0
people	gens	0
prototype	prototype	0
can	peux	0
library of congress	bibliothèque du congrès	0
trying it out	en train de les essayer	0
all of	toutes	0
do with it	en faire	0
the	ces	0
incorporated	ai insérée	0
click on that	cliquer là-dessus	0
able	capable	0
from	de	0
really	véritablement	0
network effect	effet de réseau	0
dynamic living	vivants et dynamiques	0
pills	cachets	0
hafiz	hafiz	0
key	clé	0
so	très	0
told	a raconté	0
some other time	à un autre moment	0
eastern	oriental	0
that	que	0
four four	quatre quatre	0
built	construit	0
to buckle	se déforme	0
wore	portait	0
alone	seul	0
fade away	disparaître	0
are going to bring	apporteront	0
disposition	tempérament	0
plan	plan	0
whole	entier	0
says	dit	0
leave	laisser	0
their	sa	0
pill	comprimé	0
under-sea	sous-marines	0
physically	physiquement	0
had	avons faite	0
six zero zero zero zero	six zéro zéro zéro zéro	0
met	nous sommes rencontrés	0
feet	les pieds	0
it	ce	0
would seem	semblerait	0
disability	handicap	0
collective	collective	0
worn-out	épuisé	0
navigate	naviguer	0
scene	scène	0
flesh-and-bone	en chair et en os	0
one five six	un cinq six	0
would clean off	nettoierais	0
green	vertes	0
sequenced	avons séquencé	0
take out	enlever	0
quality	qualité	0
colleague	collègue	0
cell	cellule	0
relationship	relation	0
valuable	précieux	0
decided	avons décidé	0
actually	en fait	0
sun	soleil	0
put	placée	0
did not know	ne connaissais pas	0
in full power	à pleine puissance	0
get	ont	0
really	très	0
would ruin	ruine	0
defect	défaut	0
organizing	organiser	0
adults	adultes	0
a lot of	beaucoup de	0
the design	la conception	0
has been increasing	se soit accru	0
toes	orteils	0
understood	a compris	0
emotional	émotionnel	0
climate	climatique	0
view	vue	0
would be able to	pourriez	0
conscious	consciente	0
pivot	pivot	0
hand	main	0
based on	fondé sur	0
came backstage	venu en coulisses	0
campus	campus	0
ask	vous demander	0
professor	la professeur	0
of	des	0
medical school	écoles de médecine	0
great	grande	0
how to	comment	0
about it	en	0
him	le	0
river	rivière	0
data	des données	0
was reading	lisais	0
try	essayez	0
viability	la viabilité	0
done	fait	0
environments	environnements	0
am going to	vais	0
interaction	l' interaction	0
photos	photos	0
micrograph	micrographie	0
repair	réparer	0
some	quelques	0
promised	ai promis	0
myself	moi	0
sum	somme	0
showed	ai présenté	0
had transformed	s' était transformé	0
killed	tué	0
care for	aimons	0
introduced	a présenté	0
disasters	désastres	0
fixed	réparés	0
does not suggest	ne insinue pas	0
shit knife	couteau de merde	0
ethnocide	l' ethnocide	0
you	te	0
was afraid	ai eu peur	0
needless	inutile	0
so	bon	0
dr. kean	le dr. kean	0
spaghetti	spaghettis	0
have to do with	a à voir avec	0
impotent	impuissant	0
structures	structures	0
implications	implications	0
have been interested in	me suis intéressé à	0
converted into	s' est transformée en	0
jacques	jacques	0
over	plus de	0
permit	permet	0
font	police	0
a quarter of a billion dollars	deux cinq zéro millions de dollars	0
experience	expérience	0
looks like	ressemble à	0
nor	ni	0
assault	agression	0
into	dans	0
this	ces	0
gave up	abandonnèrent	0
aware	conscients	0
from	depuis	0
rads	rads	0
would have	aurais	0
eukaryotes	des eucaryotes	0
adapt	s' adapter	0
web	réseau	0
small	de petits	0
pretty	plutôt	0
anyone	quelqu'un	0
lie	mentent	0
had to	devais	0
map	carte	0
hyperlinks	des hyperliens	0
should	devrais	0
types	types	0
six and a half	six virgule cinq	0
they	elles	0
have	aient	0
must	doit	0
email	courriel	0
indigenous	indigène	0
celebrated	célébré	0
for example	par exemple	0
or	ou	0
stars	étoiles	0
pattern	schéma	0
stephen lawler 's	de stephen lawler	0
convert	reconvertir	0
has to do with	a à voir avec	0
search history	historique de recherche	0
mapping	la cartographie	0
our	nos	0
able	capables	0
athletic	athlétique	0
activate	active	0
open	ouvrir	0
will	volonté	0
does	fait	0
greg lemond	greg lemond	0
viewing	voir	0
thank you	merci	0
day	journée	0
move around	déplacer	0
minimal components	des composants minimaux	0
superimposed	superposées	0
will get to see	pouvez voir	1
am thinking	me dis	1
are looking forward to that	allez le vouloir	1
are navigating	parcourons	1
's brought into	a ajouté à	1
have been trying to ask	nous sommes posé	1
three zero zero years from now	dans trois zéro zéro ans	1
a day	par jour	1
a little bit	légèrement	1
a lot of	bon nombre de	1
a short period of time	très peu de temps	1
a short while ago	il y a peu	1
a tiny bit	un peu	1
a ways away from	encore loin de	1
able to	en mesure de	1
about	à peu près	1
about	à propos de	1
about	à propos du	1
achieving	réussir	1
across the world	dans le monde entier	1
after	au bout de	1
again	à nouveau	1
all the people in the world	la population mondiale	1
all the way up to	jusqu'à	1
alternatives	solutions de remplacement	1
am i freaking you out	je te fais peur	1
among the very best	celui des meilleurs	1
and	ainsi que	1
and	eh bien	1
and so on	et autres	1
and so on	et des trucs dans le genre	1
another lake	un de ces lacs	1
any	toute	1
anyone	une seule	1
anything	quoi que ce soit	1
area of land	superficie	1
around	aux alentours de	1
around	dans le coin	1
around	ici et là	1
around the world	au niveau mondial	1
around the world	de par le monde	1
arranging it	pour l' arranger	1
as	au fur et à mesure que	1
as	en tant qu'	1
as	tandis que	1
as	à mesure qu'	1
as	à mesure que	1
as a five year-old child	à cinq ans	1
as quickly as i can	aussi vite que possible	1
as well as	autant qu'	1
at the edge	avant-garde	1
at their most active	les plus actifs	1
at their most frail	les plus fragiles	1
back then	à cette époque	1
back then	à l' époque	1
backing out	vous éloignant	1
bands	élastiques	1
barely	tout juste	1
basically	en gros	1
basketball playoff	tableau d' éliminatoires	1
before she died	avant de mourir	1
beforehand	à l' avance	1
boot up	activer	1
bothered to	s' embêtait à	1
breakdown	rupture	1
build	réaliser	1
butchered	égorger	1
came out of that	en est issue	1
central	primordiale	1
childhood doctor	pédiatre	1
circumnavigate	passer au large des	1
collected	récoltés	1
come up with	arriver à	1
complicate	brouiller	1
continually	toujours	1
crude	rustre	1
dealing with	quand on travaille avec	1
delivered me	me a mise au monde	1
did again	avons refait	1
discovered	identifiée	1
does not have one	ne en a pas	1
doing away with	se débarrasser de	1
drill into	zoomer sur	1
education camp	camp de redressement	1
ended up	nous sommes retrouvés	1
essentially	en gros	1
ever since	depuis ce jour	1
every day	tous les jours	1
fast-forward	vue en accéléré	1
felt uneasy	suis gêné	1
first	pour la première fois	1
fly away	enfuis -toi	1
from	d' après	1
from	suite à	1
from looking at	quand on regarde	1
front page	page d' accueil	1
fully	tout à fait	1
get a sense of	a une idée	1
get into	arrive à	1
gets blown apart	explose	1
getting by	s' en sortir	1
getting tagged	marquées	1
go ahead	continue	1
go ahead	me lancer	1
go down this road	aller dans ce sens	1
good job	bien joué	1
gradually	au fur et à mesure	1
grappling	lutter	1
great	éminente	1
ground level	plus bas niveau	1
had to	a dû	1
has something to do with it	y est pour quelque chose	1
have nothing whatsoever	ne ayant absolument rien	1
have to	a besoin de	1
have to	ai besoin de	1
here	dans ce cas-là	1
here we go	nous y voilà	1
how come	comment ça se fait	1
i will do	je vais faire	1
i am sorry	pardon	1
i can	je y arrive	1
i will be seeing you	on se reverra	1
if you will pardon	si vous me passez	1
immediately	tout de suite	1
impossible to bear	insupportable	1
in a miracle	comme par miracle	1
in a way	dans un sens	1
in between	entre les deux	1
in each case	à chaque fois	1
in fact	en réalité	1
in the	au cours des	1
in the wake of	sur les traces de	1
information info-graphic	données graphiques	1
instantly	sur-le-champ	1
instead	à la place	1
instead of	plutôt que	1
instead of	plutôt que d'	1
into the	au sein du	1
is a problem	pose un problème	1
is because	ce est que	1
it 's	il y a	1
it 's	on retrouve	1
it 's everything	il y a de tout	1
it goes like this	ce est comme ça	1
it turns out	il se trouve que	1
kind of	en quelque sorte	1
kindergarteners	les équipes de maternelle	1
let me be clear	je vais être très clair	1
life can exist	il peut y avoir de la vie	1
like	par exemple	1
like that	du même genre	1
linked together	liées entre elles	1
links them all	les relie entre elles	1
little peek	aperçu	1
many of you	beaucoup de gens	1
mass	quantité	1
meaning	ce est-à-dire	1
more	de plus en plus	1
move in	entrer dans	1
much higher-value	beaucoup plus puissants	1
much of	pas mal de choses en	1
multiple	de nombreuses	1
music sequencing	arrangement musical	1
must understand	comprenez bien	1
my birthday	le jour de ma naissance	1
my home in tennessee	mon tennessee natal	1
nation-state	nation en tant qu' état	1
not to mention	sans parler	1
notice that	s' en rendent compte	1
now	en ce moment	1
now	à présent	1
of course	bien entendu	1
of course	naturellement	1
ok	bon	1
on either side	des deux côtés	1
on our terms	à notre manière	1
on the top	au sommet	1
on the web	en ligne	1
on their way back	de retour	1
on top	au sommet	1
on top of	en plus de	1
on video watching this	qui regarderont la vidéo	1
